Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time(ms),Temperature,Memory,Perf
C, binary-trees, -1, 25.249511718750000000, 24.738220214843750000,  ,  , 980, 50.2, 134400, 0
C, binary-trees, -1, 25.292541503906250000, 24.791259765625000000,  ,  , 977, 51.2, 134400, 0
C, binary-trees, -1, 25.126220703125000000, 24.611694335937500000,  ,  , 978, 51.2, 134400, 0
C, binary-trees, -1, 25.268737792968750000, 24.746520996093750000,  ,  , 983, 51.5, 134400, 0
C, binary-trees, -1, 25.237426757812500000, 24.713378906250000000,  ,  , 977, 51.5, 134400, 0
C, binary-trees, -1, 25.198669433593750000, 24.682800292968750000,  ,  , 980, 52.2, 134400, 0
C, binary-trees, -1, 25.045410156250000000, 24.526855468750000000,  ,  , 980, 52.2, 134400, 0
C, binary-trees, -1, 25.149353027343750000, 24.641967773437500000,  ,  , 983, 52.8, 134400, 0
C, binary-trees, -1, 25.509643554687500000, 24.977294921875000000,  ,  , 1006, 52.0, 134400, 0
C, binary-trees, -1, 25.186523437500000000, 24.651367187500000000,  ,  , 983, 52.0, 134400, 0
C, binary-trees, -1, 25.077392578125000000, 24.575683593750000000,  ,  , 974, 52.5, 134400, 0
C, binary-trees, -1, 25.137756347656250000, 24.623291015625000000,  ,  , 982, 52.5, 134400, 0
C, binary-trees, -1, 25.069702148437500000, 24.559387207031250000,  ,  , 978, 53.0, 134400, 0
C, binary-trees, -1, 25.092529296875000000, 24.579162597656250000,  ,  , 984, 53.0, 134400, 0
C, binary-trees, -1, 25.065246582031250000, 24.548767089843750000,  ,  , 980, 51.8, 134400, 0
C, binary-trees, -1, 25.005859375000000000, 24.489135742187500000,  ,  , 976, 53.5, 134400, 0
C, binary-trees, -1, 25.292785644531250000, 24.772705078125000000,  ,  , 993, 53.2, 134272, 0
C, binary-trees, -1, 25.088806152343750000, 24.577758789062500000,  ,  , 985, 53.2, 134400, 0
C, binary-trees, -1, 25.050292968750000000, 24.532897949218750000,  ,  , 978, 53.2, 134400, 0
C, binary-trees, -1, 25.154174804687500000, 24.639953613281250000,  ,  , 981, 53.2, 134400, 0
C, fannkuch-redux, -1, 53.471496582031250000, 52.773010253906250000,  ,  , 1970, 55.0, 1664, 0
C, fannkuch-redux, -1, 53.437194824218750000, 52.736206054687500000,  ,  , 1972, 55.5, 1664, 0
C, fannkuch-redux, -1, 53.407287597656250000, 52.701782226562500000,  ,  , 1975, 55.2, 1664, 0
C, fannkuch-redux, -1, 53.526428222656250000, 52.821777343750000000,  ,  , 1970, 55.0, 1664, 0
